municipio_id,anio,poblacion
6518,2015,23420
6525,2015,60607
6532,2015,65844
6539,2015,569165
6547,2015,22482
6553,2015,6980
6560,2015,498713
6568,2015,321351
6574,2015,17712
6581,2015,94902
6588,2015,48475
6595,2015,116473
6602,2015,31250
6609,2015,40798
6616,2015,5995
6623,2015,107794
6630,2015,3821
6638,2015,340189
6644,2015,28789
6648,2015,93960
6651,2015,15486
6655,2015,10282
6658,2015,626006
6665,2015,35567
6672,2015,15743
6679,2015,16746
6686,2015,23995
6693,2015,13151
6700,2015,21449
6707,2015,33839
6721,2015,8760
6714,2015,34894
6728,2015,24500
6735,2015,24307
6742,2015,8638
6749,2015,169844
6756,2015,293848
6760,2015,291845
6763,2015,151279
6770,2015,61644
6778,2015,68634
6784,2015,10846
6791,2015,132199
6798,2015,9686
6805,2015,422108
6812,2015,1794
6819,2015,13395
6826,2015,45043
6833,2015,57543
6840,2015,343792
6847,2015,8646
6854,2015,36627
6861,2015,269705
6868,2015,35044
6875,2015,33830
6882,2015,121748
6007,2016,17382
6014,2016,12016
6021,2016,10900
6028,2016,582541
6077,2016,30532
6035,2016,352246
6042,2016,20990
6049,2016,66965
6056,2016,307836
6063,2016,45116
6070,2016,35045
6084,2016,20493
6091,2016,350578
6098,2016,93773
6105,2016,35393
6112,2016,41978
6119,2016,29279
6126,2016,101518
6134,2016,58752
6140,2016,15692
6147,2016,23206
6154,2016,11674
6161,2016,15271
6168,2016,8517
6210,2016,51263
6218,2016,39068
6224,2016,66976
6175,2016,26305
6182,2016,63203
6189,2016,15511
6196,2016,22561
6203,2016,39673
6231,2016,17747
6238,2016,28152
6245,2016,59995
6252,2016,239461
6260,2016,344795
6266,2016,33991
6270,2016,197895
6274,2016,482757
6277,2016,9371
6280,2016,42494
6287,2016,11385
6294,2016,15054
6301,2016,18594
6308,2016,2872
6315,2016,20938
6322,2016,10738
6329,2016,16469
6336,2016,4172
6343,2016,11583
6351,2016,11452
6357,2016,644055
6364,2016,101116
6371,2016,422440
6385,2016,18556
6392,2016,32451
6399,2016,12329
6406,2016,10029
6408,2016,189371
6410,2016,176356
6412,2016,292304
6413,2016,93168
6420,2016,75285
6427,2016,2087359
6441,2016,692779
6434,2016,463106
6448,2016,10668
6455,2016,24272
6462,2016,17250
6469,2016,42270
6476,2016,18047
6483,2016,38557
6490,2016,638287
6497,2016,114848
6505,2016,20041
6511,2016,10328
6515,2016,346406
6518,2016,23816
6525,2016,61811
6532,2016,66245
6539,2016,576737
6547,2016,22832
6553,2016,7064
6560,2016,507403
6568,2016,320781
6574,2016,17815
6581,2016,95126
6588,2016,48539
6595,2016,117230
6602,2016,31405
6609,2016,40930
6616,2016,6007
6623,2016,108251
6630,2016,3851
6638,2016,347998
6644,2016,29364
6648,2016,96420
6651,2016,15396
6655,2016,10343
6658,2016,633913
6665,2016,36018
6672,2016,15830
6679,2016,16826
6686,2016,24065
6693,2016,13298
6700,2016,21551
6707,2016,34131
6721,2016,8769
6714,2016,35288
6728,2016,24755
6735,2016,24501
6742,2016,8671
6749,2016,170880
6756,2016,293496
6760,2016,294370
6763,2016,152106
6770,2016,62061
6778,2016,70388
6784,2016,10983
6791,2016,133659
6798,2016,9772
6805,2016,430660
6812,2016,1796
6819,2016,13507
6826,2016,45373
6833,2016,57556
6840,2016,343877
6847,2016,8686
6854,2016,36718
6861,2016,269294
6868,2016,35660
6875,2016,34341
6882,2016,123054
6007,2017,17407
6014,2017,11992
6021,2017,10924
6028,2017,586564
6077,2017,30735
6035,2017,353273
6042,2017,21067
6049,2017,67144
6056,2017,308413
6063,2017,45262
6070,2017,35375
6084,2017,20503
6091,2017,354447
6098,2017,94522
6105,2017,35540
6112,2017,42020
6119,2017,29725
6126,2017,102549
6134,2017,59817
6140,2017,15869
6147,2017,23334
6154,2017,11673
6161,2017,15345
6168,2017,8556
6210,2017,51615
6218,2017,39417
6224,2017,67343
6175,2017,26503
6182,2017,63281
6189,2017,15435
6196,2017,22463
6203,2017,39838
6231,2017,17863
6238,2017,28296
6245,2017,60452
6252,2017,243456
6260,2017,351564
6266,2017,34643
6270,2017,203292
6274,2017,491652
6277,2017,9441
6280,2017,42917
6287,2017,11410
6294,2017,15056
6301,2017,18773
6308,2017,2877
6315,2017,21106
6322,2017,10713
6329,2017,16710
6336,2017,4246
6343,2017,11629
6351,2017,11467
6357,2017,647215
6364,2017,103308
6371,2017,423153
6385,2017,18608
6392,2017,32667
6399,2017,12394
6406,2017,10089
6408,2017,190447
6410,2017,177521
6412,2017,296279
