anio,municipio_id,unidades_de_servicio_nivel_inicial*,unidades_de_servicio_nivel_primario,unidades_de_servicio_nivel_secundario**,sector_de_gestión_estatal***,sector_de_gestión_privada****,matricula_sexo_femenino*****,matricula_sexo_masculino******,matricula_nivel_inicial,matricula_nivel_primario*******,matricula_nivel_secundario********
2019.0,6084.0,11.0,13.0,6.0,48.0,8.0,4422.0,4267.0,1080.0,1971.0,1539.0
2020.0,6084.0,11.0,13.0,6.0,46.0,8.0,4230.0,4241.0,1109.0,1889.0,1491.0
2021.0,6084.0,11.0,13.0,6.0,47.0,8.0,4222.0,4239.0,1086.0,1884.0,1432.0
2022.0,6084.0,11.0,13.0,6.0,47.0,8.0,4706.0,4254.0,1041.0,1863.0,1316.0
2023.0,6084.0,11.0,13.0,6.0,48.0,9.0,4694.0,4129.0,959.0,1873.0,1261.0
2011.0,6091.0,94.0,94.0,103.0,238.0,137.0,53192.0,51632.0,15724.0,39807.0,30075.0
2012.0,6091.0,96.0,93.0,102.0,242.0,137.0,54276.0,51729.0,16238.0,39577.0,30544.0
2013.0,6091.0,98.0,93.0,98.0,252.0,138.0,54337.0,52500.0,16841.0,39568.0,31134.0
2014.0,6091.0,98.0,93.0,91.0,245.0,135.0,54456.0,52434.0,16945.0,39681.0,31610.0
2015.0,6091.0,98.0,93.0,90.0,247.0,133.0,54915.0,53426.0,17263.0,39953.0,31778.0
2016.0,6091.0,100.0,93.0,90.0,251.0,134.0,56449.0,54138.0,17641.0,40304.0,32420.0
2017.0,6091.0,101.0,92.0,90.0,239.0,136.0,55333.0,53725.0,17754.0,40097.0,32484.0
2018.0,6091.0,100.0,92.0,90.0,234.0,134.0,59374.0,56294.0,18034.0,40186.0,33036.0
2019.0,6091.0,102.0,92.0,88.0,239.0,132.0,56574.0,55598.0,18085.0,40573.0,33562.0
2020.0,6091.0,99.0,92.0,88.0,231.0,130.0,56728.0,55590.0,17363.0,40824.0,33771.0
2021.0,6091.0,100.0,92.0,88.0,230.0,130.0,55843.0,55408.0,15690.0,40879.0,34773.0
2022.0,6091.0,101.0,92.0,88.0,238.0,130.0,56921.0,56246.0,15660.0,40277.0,34516.0
2023.0,6091.0,101.0,93.0,89.0,239.0,126.0,55850.0,54527.0,14870.0,39685.0,34230.0
2011.0,6098.0,24.0,28.0,28.0,95.0,24.0,14958.0,14885.0,4151.0,9391.0,6757.0
2012.0,6098.0,24.0,28.0,24.0,94.0,23.0,14611.0,14988.0,4088.0,9408.0,6787.0
2013.0,6098.0,24.0,28.0,24.0,97.0,23.0,14981.0,15218.0,4172.0,9381.0,6589.0
2014.0,6098.0,24.0,28.0,24.0,97.0,23.0,15086.0,15098.0,4273.0,9333.0,6466.0
2015.0,6098.0,24.0,28.0,24.0,95.0,23.0,15452.0,15701.0,4384.0,9363.0,6562.0
2016.0,6098.0,24.0,28.0,23.0,95.0,23.0,15897.0,15405.0,4489.0,9433.0,6688.0
2017.0,6098.0,25.0,28.0,23.0,93.0,26.0,15510.0,15766.0,4430.0,9515.0,6903.0
2018.0,6098.0,25.0,28.0,23.0,94.0,24.0,16020.0,15826.0,4546.0,9503.0,7263.0
2019.0,6098.0,25.0,28.0,23.0,94.0,24.0,15871.0,16350.0,4510.0,9582.0,7208.0
2020.0,6098.0,25.0,28.0,23.0,90.0,24.0,16002.0,16549.0,4406.0,9777.0,7505.0
2021.0,6098.0,25.0,28.0,23.0,93.0,24.0,16195.0,16241.0,4129.0,9880.0,7788.0
2022.0,6098.0,25.0,28.0,23.0,94.0,24.0,17131.0,17009.0,4081.0,9813.0,7880.0
2023.0,6098.0,26.0,28.0,23.0,96.0,24.0,16454.0,16805.0,3960.0,9514.0,7869.0
