anio,municipio_id,municipio_nombre,unidades_de_servicio_nivel_inicial*,unidades_de_servicio_nivel_primario,unidades_de_servicio_nivel_secundario**,sector_de_gestión_estatal***,sector_de_gestión_privada****,matricula_sexo_femenino*****,matricula_sexo_masculino******,matricula_nivel_inicial,matricula_nivel_primario*******,matricula_nivel_secundario********
2013,06105,Bolívar,31,39,13,112,10,7140,6295,1718,3217,2209
2014,06105,Bolívar,31,39,13,110,10,7212,6276,1766,3236,2186
2015,06105,Bolívar,30,39,13,111,10,7036,6106,1765,3198,2244
2016,06105,Bolívar,31,38,13,114,10,7689,6355,1775,3214,2199
2017,06105,Bolívar,30,38,13,108,10,7628,6396,1650,3199,2221
2018,06105,Bolívar,30,38,13,109,10,7812,6360,1680,3193,2332
2019,06105,Bolívar,30,38,13,107,10,7314,6233,1633,3217,2441
2020,06105,Bolívar,30,37,13,103,10,7027,6046,1629,3222,2516
2021,06105,Bolívar,30,37,13,106,10,7407,6178,1554,3247,2525
2022,06105,Bolívar,30,37,13,104,10,7212,6270,1600,3221,2413
2023,06105,Bolívar,30,37,13,104,10,7100,6302,1485,3243,2448
2011,06112,Bragado,20,27,15,83,6,7169,6535,1981,4229,3059
2012,06112,Bragado,20,27,15,84,6,7393,6443,1937,4262,3203
2013,06112,Bragado,20,26,14,83,6,7055,6319,1953,4296,3073
2014,06112,Bragado,20,26,13,81,6,7294,6591,1982,4212,3018
2015,06112,Bragado,20,26,13,81,6,7223,6250,2032,4160,3107
2016,06112,Bragado,20,26,13,82,7,7466,6582,2010,4086,3121
2017,06112,Bragado,20,25,13,78,7,7747,6741,1996,4050,3206
2018,06112,Bragado,21,24,13,79,7,7833,6817,2057,4025,3263
2019,06112,Bragado,19,23,13,75,8,7855,6932,2035,4013,3275
2020,06112,Bragado,18,23,13,70,7,7461,6451,1992,4016,3315
2021,06112,Bragado,18,23,13,71,8,8007,6877,1925,3980,3363
2022,06112,Bragado,18,22,13,70,8,8224,6123,1924,3947,3262
2023,06112,Bragado,18,22,13,70,7,7754,6630,1806,3906,3244
2011,06119,Brandsen,19,21,15,66,7,5195,4859,1564,3397,2029
2012,06119,Brandsen,20,21,11,63,8,5374,4953,1568,3539,2042
2013,06119,Brandsen,19,22,11,66,8,5725,5254,1573,3672,2115
2014,06119,Brandsen,19,22,11,66,8,5724,5330,1678,3703,2222
2015,06119,Brandsen,20,22,12,69,9,6124,5548,1760,3800,2270
